posicao;centro_x;centro_y;orientacao;largura_pt;altura_pt;Molde;
RETANGULO 1;185.4086;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 2;417.4069;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 3;649.4052;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 4;881.3535;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 5;1113.3018;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 6;1345.3001;695.6544;VERTICAL;231.9744;1250.6756;NNA;
RETANGULO 7;765.3542;1436.9894;HORIZONTAL;1250.6756;231.9744;NNA;
RETANGULO 8;765.3542;1668.9377;HORIZONTAL;1250.6756;231.9744;NNA;
RETANGULO 9;765.3542;1900.886;HORIZONTAL;1250.6756;231.9744;NNA;
RETANGULO 10;765.3542;2132.8842;HORIZONTAL;1250.6756;231.9744;NNA;
RETANGULO 11;765.3542;2364.8825;HORIZONTAL;1250.6756;231.9744;NNA;
RETANGULO 1;677.197;323.1492;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 2;677.197;7765.3543;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 3;677.197;1207.5594;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 4;1873.9843;323.1492;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 5;1873.9843;7765.3543;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 6;1873.9843;1207.5594;HORIZONTAL;1196.2204;442.2051;NNA CP;
RETANGULO 1;765.3543;115.6992;HORIZONTAL;1;1;NM AV;
RETANGULO 2;765.3543;347.6975;HORIZONTAL;1;1;NM AV;
RETANGULO 3;765.3543;579.5958;HORIZONTAL;1;1;NM AV;
RETANGULO 4;765.3543;811.5941;HORIZONTAL;1;1;NM AV;
RETANGULO 5;765.3543;1043.5923;HORIZONTAL;1;1;NM AV;
RETANGULO 6;765.3543;1275.5906;HORIZONTAL;1;1;NM AV;
RETANGULO 7;765.3543;1507.5889;HORIZONTAL;1;1;NM AV;
RETANGULO 8;765.3543;1739.4872;HORIZONTAL;1;1;NM AV;
RETANGULO 9;765.3543;1971.4855;HORIZONTAL;1;1;NM AV;
RETANGULO 10;765.3543;2203.4836;HORIZONTAL;1;1;NM AV;
RETANGULO 1;675.595;305.7078;HORIZONTAL;1199.9913;471.5965;NM AV CP;
RETANGULO 2;1875.6;753.3045;HORIZONTAL;1199.9913;471.5965;NM AV CP;
RETANGULO 3;675.595;1200.9;HORIZONTAL;1199.9913;471.5965;NM AV CP;
RETANGULO 1;765.3542;58;HORIZONTAL;1;1;TD;
RETANGULO 2;765.3542;170;HORIZONTAL;1;1;TD;
RETANGULO 3;765.3542;282;HORIZONTAL;1;1;TD;
RETANGULO 4;765.3542;394;HORIZONTAL;1;1;TD;
RETANGULO 5;765.3542;506;HORIZONTAL;1;1;TD;
RETANGULO 6;765.3542;618;HORIZONTAL;1;1;TD;
RETANGULO 7;765.3542;730;HORIZONTAL;1;1;TD;
RETANGULO 8;765.3542;842;HORIZONTAL;1;1;TD;
RETANGULO 9;765.3542;954;HORIZONTAL;1;1;TD;
RETANGULO 10;765.3542;1066;HORIZONTAL;1;1;TD;
RETANGULO 11;765.3542;1178;HORIZONTAL;1;1;TD;
RETANGULO 12;765.3542;1290;HORIZONTAL;1;1;TD;
RETANGULO 13;765.3542;1402;HORIZONTAL;1;1;TD;
RETANGULO 14;765.3542;1514;HORIZONTAL;1;1;TD;
RETANGULO 15;765.3542;1626;HORIZONTAL;1;1;TD;
RETANGULO 16;765.3542;1738;HORIZONTAL;1;1;TD;
RETANGULO 17;765.3542;1850;HORIZONTAL;1;1;TD;
RETANGULO 18;765.3542;1962;HORIZONTAL;1;1;TD;
RETANGULO 19;765.3542;2074;HORIZONTAL;1;1;TD;
RETANGULO 20;765.3542;2186;HORIZONTAL;1;1;TD;
RETANGULO 21;765.3542;2298;HORIZONTAL;1;1;TD;
RETANGULO 22;765.3542;2410;HORIZONTAL;1;1;TD;
RETANGULO 23;765.3542;2522;HORIZONTAL;1;1;TD;